Artist Name,Title,Label,Size,Speed,Pressed At,Year of Release,Year of Pressing,Country,Genre,Styles,Media Condition
Madonna,Borderline b/w Lucky Star,Sire,"12""",45RPM,Specialty Records Corporation,1984,1984,US,"Electronic, Pop",Synthpop,
Madonna,La Isla Bonita - Super Mix,"Sire, Warner Bros.","12""",45RPM,,2019,2019,US,"Electronic, Pop",Synthpop,NM
Madonna,True Blue - Super Club Mix,"Sire, Warner Bros.","12""",45RPM,Optimal Media GmbH,2019,2019,Europe,"Electronic, Pop","Dance Pop, Ballad",NM
Brian May,New Horizons,Duck Productions,"12""",45RPM,,2019,2019,Europe,Rock,Classic Rock,NM
"Paul McCartney, Michael Jackson",Say Say Say,"Columbia, MPL","12""",33RPM,"Columbia Records Pressing Plant, Pitman",1983,1983,US,"Electronic, Pop","Synthpop, Disco",
George Harrison,My Sweet Lord,"Parlophone, Capitol, UMe","7""",,GZ Media,2020,2020,,"Rock, Pop","Soft Rock, Pop Rock",NM-
Tears For Fears,Everybody Wants To Rule The World,Mercury,"12""",33RPM,Hauppauge Record Manufacturing,1985,1985,US,"Electronic, Rock, Pop","New Wave, Synthpop",
The Beatles,Yellow Submarine b/w Eleanor Rigby,"Apple, UMG","7""",45RPM,,1966,2018,,"Rock, Pop","Pop Rock, Psychedelic Rock",NM-
David Bowie,Fame,RCA Victor,"7""",45RPM,"RCA Records Pressing Plant, Hollywood",1975,1975,US,"Rock, Funk, Soul","Funk, Glam",
Eagles,Hotel California,Asylum ,"7""",45RPM,Specialty Records Corporation,1976,1976,US,Rock,Classic Rock,
Fleetwood Mac,Go Your Own Way / Dreams,Warner Bros.,"7""",45RPM,Specialty Records Corporation,1977,,US,"Rock, Pop","Pop Rock, Classic Rock",G
Madonna,Holiday,Sire,"7""",45RPM,,1983,1983,Germany,"Electronic, Pop","Synthpop, Disco",
Stevie Nicks,Edge Of Seventeen (Just Like The White Winged Dove),Modern,"7""",45RPM,Specialty Records Corporation,1982,1982,US,Rock,Pop Rock,VG
Quiet Riot,Cum On Feel The Noize,Pasha,"7""",45RPM,"Columbia Records Pressing Plant, Carrollton",1983,1983,US,Rock,Heavy Metal,
Fleetwood Mac,Hold Me,Warner Bros.,"7""",45RPM,Specialty Records Corporation,1982,1982,US,Rock,"Pop Rock, Vocal, Soft Rock",
Fleetwood Mac,Seven Wonders,Warner Bros.,"7""",45RPM,Specialty Records Corporation,1987,1987,US,"Electronic, Rock","Pop Rock, Synthpop",VG
Fleetwood Mac,Tusk / Never Make Me Cry,Warner Bros.,"7""",45RPM,"Columbia Records Pressing Plant, Terre Haute",1979,1979,US,Rock,"Pop Rock, Soft Rock",
George Harrison,My Sweet Lord / Isn't It A Pity,Apple,"7""",45RPM,"Capitol Records Pressing Plant, Winchester",1970,1970,US,Rock,Pop Rock,
Stevie Nicks,Leather and Lace,Modern,"7""",45RPM,Specialty Records Corporation,1981,1981,US,Pop,Vocal,G+
Fleetwood Mac,Don't Stop / Never Going Back Again,Warner Bros.,"7""",45RPM,"Columbia Records Pressing Plant, Pitman",1977,1977,US,Rock,"Pop Rock, Classic Rock",
Madonna,True Blue,Sire,"7""",45RPM,Specialty Records Corporation,1986,1986,US,Electronic,Synthpop,
George Harrison,My Sweet Lord / Isn't It A Pity,Apple,"7""",45RPM,"Capitol Records Pressing Plant, Scranton",1970,1970,US,Rock,Pop Rock,
"Stevie Nicks, Don Henley",Leather and Lace,Modern,"7""",45RPM,Specialty Records Corporation,1981,1981,US,"Rock, Pop",Pop Rock,
The Beatles,I Feel Fine / She's A Woman,Capitol,"7""",45RPM,"Capitol Records Pressing Plant, Scranton",1964,1964,US,Rock,"Rock & Roll, Beat",
Fleetwood Mac,Don't Stop,Warner Bros.,"7""",45RPM,"Capitol Records Pressing Plant, Los Angeles",1977,1977,US,Rock,"Pop Rock, Classic Rock",VG+
Buckingham Nicks,Crying In The Night,Polydor,"7""",45RPM,,1973,1977,US,Rock,,
Fleetwood Mac,Little Lies,Warner Bros.,"12""",45RPM,Allied Record Company,1987,1987,US,"Electronic, Rock, Pop",Garage House,
Madonna,True Blue,Sire,"7""",45RPM,Specialty Records Corporation,1986,1986,US,Electronic,Synthpop,
Fleetwood Mac,Big Love,Warner Bros.,"7""",45RPM,Specialty Records Corporation,1987,1987,US,"Electronic, Rock","House, Pop Rock, Synthpop",
Stevie Nicks,Talk To Me,Modern,"7""",45RPM,Specialty Records Corporation,1985,1985,US,Rock,Pop Rock,
Stevie Nicks,Stand Back,Modern,"7""",45RPM,Specialty Records Corporation,1983,1983,US,"Electronic, Rock","Pop Rock, Synthpop",
The Beach Boys,Wouldn't It Be Nice,Capitol,"7""",45RPM,"Capitol Records Pressing Plant, Scranton",1966,1966,US,"Rock, Pop","Pop Rock, Baroque Pop",
"Stevie Nicks, Tom Petty And The Heartbreakers",Stop Draggin' My Heart Around,Modern,"7""",45RPM,Specialty Records Corporation,1981,1981,US,Rock,"Pop Rock, Classic Rock",
Fleetwood Mac,Gypsy,Warner Bros.,"7""",45RPM,,1982,1982,Japan,Rock,Pop Rock,
Olivia Newton-John,Physical,MCA,"7""",45RPM,"MCA Pressing Plant, Gloversville",1981,1981,US,"Rock, Pop","Soft Rock, Pop Rock",
Pat Benatar,Love Is A Battlefield,Chrysalis,"7""",45RPM,"Columbia Records Pressing Plant, Pitman",1983,1983,US,Rock,Pop Rock,
The Beach Boys,"Help Me, Rhonda",Capitol,"7""",45RPM,"RCA Records Pressing Plant, Rockaway",1965,1965,US,Rock,"Surf, Rock & Roll",
The Beach Boys,California Girls / Let Him Run Wild,Capitol,"7""",45RPM,"Capitol Records Pressing Plant, Scranton",1965,1965,US,"Rock, Pop",,